Name	Modern (and former) nationality	Centuries	Main areas explored
Gavril Sarychev	Russian	18th/19th	Sea of Okhotsk, Baltic Sea, Aleutian Islands
Martin Sauer	English	18th	Siberia, Alaska
Rabban Bar Sauma	Turco-Mongol	13th	Europe, Middle East
Johann Schiltberger	German	15th	Central Asia
Adolf Schlagintweit	German	19th	Central Asia
Eduard Schlagintweit	German	19th	Central Asia
Emil Schlagintweit	German	19th	Central Asia
Hermann Schlagintweit	German	19th	Central Asia
Robert Schlagintweit	German	19th	Central Asia
Ulrich Schmidl	German	16th	Río de la Plata
Willem Schouten	Dutch	17th	South Pacific (Cape Horn, Tonga Islands, Wallis and Futuna)
Georg August Schweinfurth	Baltic German	19th	East and Central Africa
Robert Falcon Scott	English	19th/20th	Antarctica (South Pole)
Scylax of Caryanda	Greek	6th BC	Indus River, Indian Ocean, Red Sea
Tibor Sekelj	Croat	20th	Argentina
Mirko and Stjepan Seljan	Croat	20th	Ethiopia, South America
Frederick Courtney Selous	English	19th	Africa
Symon Semeonis	Hiberno-Norman	14th	Jerusalem, Albania
Gomes de Sequeira	Portuguese	16th	Caroline Islands, Pacific Ocean
João Serrão	Portuguese	15th/16th	1st Circumnavigation (also later its co-captain general); commanded the ship Santiago in the Atlantic and the Concepcion across the Pacific, Strait of Malacca, Indian Ocean
Francisco Serrão	Portuguese	15th/16th	Indonesia
Ernest Shackleton	English-Irish	20th	Antarctica
Robert Barkley Shaw	English	19th	Central Asia
Eric Shipton	English	20th	Mount Everest, southern Patagonia
Tanaka Shōsuke	Japanese	17th	Mexico
Diogo Silves	Portuguese	15th	Azores
James Simpson	English	20th	North Greenland
Pêro de Sintra	Portuguese	15th	West African coast, Sierra Leone
Pierre-Jean De Smet	Belgian	19th	North America
Jedediah Smith	American	19th	Western United States, Rocky Mountains
John Smith	English	17th	North America
William Smith	English	19th	South Shetland Islands
Eugene Smurgis	Russian	20th	Arctic Ocean
J. Dewey Soper	Canadian	20th	Canadian Arctic
Hernando de Soto	Spanish	16th	Central America, Southern United States
Martim Afonso de Sousa	Portuguese	16th	Brazilian interior
John Hanning Speke	English	19th	East Africa
Hans Staden	German	16th	Brazil
Ed Stafford	English	21st	Amazon
William Grant Stairs	Canadian	19th	Central Africa
Henry Morton Stanley	Welsh	19th	East Africa
Vilhjalmur Stefansson	Icelandic Canadian	20th	Canadian Arctic
Marc Aurel Stein	Hungarian-British	19th/20th	Central Asia
John Lloyd Stephens	American	19th	Middle East, Mesoamerica (Mayan remains)
Paweł Strzelecki[10]	Polish-British	19th	the Americas, Australia (Gippsland)
John McDouall Stuart	Scottish	19th	Australian Interior
Charles Sturt	British	19th	Australian Interior
Gardar Svavarsson	Swedish	9th	Iceland
Anders Svedlund	Swedish	20th	Oceans
Otto Sverdrup	Norwegian	19th/20th	Arctic
Ignacije Szentmartony	Croat	18th	Amazon River
Abel Tasman	Dutch	17th	Australasia, including Tasmania
António Raposo Tavares	Portuguese	17th	Paraguay River, part of the Andes mountain range, Grande River, Mamoré River, Madeira River, Amazon River  (Brazil, Paraguay, Bolivia) Union of La Plata Basin to the Amazon River - circumnavigation of Brazil.
Jean-Baptiste Tavernier	French	17th	Persia, India
Mikhail Tebenkov	Russian	19th	Alaska, Aleutian Islands, Amur River
Pedro Teixeira	Portuguese	17th	Amazon River
Tristão Vaz Teixeira	Portuguese	15th	Madeira Islands
Wilfred Thesiger	English	20th	Africa, Middle East
David Thompson	Welsh–English	18th/19th	Western Canada, Pacific Northwest
Guðríður Þorbjarnardóttir	Icelandic	11th	North America
Harold William Tilman	English	20th	Himalayas, Patagonia
Yermak Timofeyevich	Russian[11]	16th	Siberia
Gherman Titov	Russian	20th	First person to orbit the Earth multiple times
Tenjiku Tokubei	Japanese	17th	South East Asia, India
Eduard Toll	Baltic German	19th	Arctic
Luis Váez de Torres	Spanish Galician	16th/17th	Australasia
Nuno Tristão	Portuguese	15th	West African coast, Guinea-Bissau
Petrus Johannes Truter	Dutch	19th	Bechuanaland
Hasekura Tsunenaga	Japanese	17th	Mexico, Europe
Benjamin of Tudela	Jewish Navarrese	12th	Mediterranean Sea, Arabian Peninsula, Red Sea, Persian Gulf
Andrés de Urdaneta	Spanish	16th	Pacific Ocean, Manila Galleon route
Jules Dumont d'Urville	French	19th	Antarctica
Cayetano Valdés y Flores	Spanish	18th	Pacific Northwest
George Vancouver	English	18th	Pacific coast of North America[12]
Ludovico di Varthema	Italian	15th/16th	Arabian Peninsula, Indian Ocean, Southeast Asia
Gonçalo Velho	Portuguese	15th	Azores
François de La Vérendrye	French Canadian	18th	Western Canada
Louis-Joseph Gaultier de La Vérendrye	French Canadian	18th	Great Plains
Pierre Gaultier de Varennes, sieur de La Vérendrye	French	18th	Great Plains
Giovanni da Verrazzano	Italian	16th	East Coast of the United States
Amerigo Vespucci	Italian	15th/16th	Eastern South American coast, Caribbean
Flóki Vilgerðarson	Norse Viking	9th	Iceland
Ruy López de Villalobos	Spanish	16th	Pacific Ocean, Philippines
Vandino and Ugolino Vivaldi	Italian	13th	Africa, in a failed attempt to reach India
Sebastián Vizcaíno	Spanish	16th	Northwest Pacific, California Coast
Willem de Vlamingh	Dutch	17th	Southwest Australian coast
Maarten Gerritsz Vries	Dutch	17th	Northwest Pacific (Hokkaido, Sakhalin)
Lionel Wafer	Welsh	17th	Malay Archipelago, Isthmus of Panama
Jean-Frédéric Waldeck	French	19th	Mesoamerica (Mayan remains)
Thomas Walker	American	18th	Eastern United States[13]
Gino Watkins	English	20th	East Greenland & Labrador
Langdon Warner	American	20th	the Silk Road
Alfred Wegener	German	20th	Greenland
John White	English	15th	Roanoke Island
Jim Whittaker	American	20th	Mount Everest, Antarctica
Frederick Whymper	English	19th	Alaska, Kamchatka, Yukon
Charles Wilkes	American	19th	Pacific Ocean
Edward Adrian Wilson	English	19th/20th	Antarctica
Ernest Henry Wilson	English	19th/20th	East Asia, East Africa, Central and South America, Australia, New Zealand
James Wilson	British	18th	Pacific Islands
Thomas Braidwood Wilson	Scottish Australian	19th	Australia
Harry de Windt	French	19th/20th	Eurasia
Fanny Bullock Workman	American	19th/20th	Himalaya
Ferdinand von Wrangel	Baltic German	19th	Northern Russia
Xuanzang	Chinese	7th	Indian subcontinent, Central Asia
John Young	Scottish-English	18th	Hawaii
Sir Francis Younghusband	British	19th/20th	Central Asia
João Gonçalves Zarco	Portuguese	15th	Madeira Islands
Gonzalo García Zorro	Spanish	16th	Colombia
